Player,PER
Chris Childs,16.4
Chris Copeland,17.6
Chris Corchiani,19.5
Chris Crawford,28.8
Chris Douglas-Roberts,12.2
Chris Dudley,13.2
Chris Duhon,12.9
Chris Engler,29.1
Chris Ford,14.6
Chris Garner,5.6
Chris Gatling,24.4
Chris Harris,4.0
Chris Herren,8.9
Chris Hunter,12.2
Chris Jefferies,33.3
Chris Jent,16.0
Chris Johnson,18.4
Chris Kaman,17.5
Chris King,13.1
Chris McCray,-20.7
Chris McCullough,16.8
Chris McNealy,13.7
Chris Mihm,16.6
Chris Mills,16.2
Chris Morris,17.8
Chris Mullin*,22.7
Chris Munk,14.5
Chris Owens,20.1
Chris Paul,30.0
Chris Porter,11.1
Chris Quinn,13.8
Chris Richard,7.9
Chris Robinson,11.4
Chris Singleton,8.8
Chris Smith,11.2
Chris Taft,15.6
Chris Washburn,12.2
Chris Webber,24.7
Chris Welp,12.4
Chris Whitney,17.1
Chris Wilcox,20.4
Chris Wright,18.6
Christian Eyenga,16.7
Christian Laettner,19.1
Christian Wood,16.4
Chubby Cox,1.6
Chuck Aleksinas,9.1
Chuck Cooper,12.6
Chuck Gilmur,
Chuck Grigsby,9.9
Chuck Hayes,18.0
Chuck Mencel,12.5
Chuck Mrazovich,
Chuck Nevitt,46.0
Chuck Noble,10.9
Chuck Osborne,4.7
Chuck Person,16.6
Chuck Share,22.0
Chuck Terry,8.8
Chuck Williams,10.4
Chuckie Williams,8.8
Chucky Atkins,17.4
Chucky Brown,13.7
Clarence Glover,14.0
Clarence Kea,17.3
Clarence Weatherspoon,18.1
Clark Kellogg,20.3
Claude English,3.8
Claude Gregory,23.0
Claude Overton,6.3
Claude Terry,15.2
Clay Johnson,12.8
Cleanthony Early,8.4
Clem Haskins,16.5
Clemon Johnson,16.8
Cleo Hill,9.1
Cleveland Buckner,15.7
Cliff Alexander,11.6
Cliff Anderson,13.2
Cliff Barker,10.8
Cliff Hagan*,22.7
Cliff Levingston,15.5
Cliff Meely,14.7
Cliff Pondexter,13.1
Cliff Robinson,18.5
Cliff Williams,-3.5
Clifford Lett,6.9
Clifford Ray,17.4
Clifford Robinson,18.8
Clifford Rozier,14.7
Clint Capela,21.4
Clint McDaniel,15.6
Clint Richardson,12.8
Clint Wager,
Clinton Smith,11.5
Clinton Wheeler,16.5
Clyde Drexler*,24.1
Clyde Lee,14.8
Clyde Lovellette*,23.5
Clyde Mayes,13.2
Coby Dietrick,13.9
Coby Karl,15.8
Cody Zeller,16.7
Cole Aldrich,21.3
Conner Henry,17.8
Connie Dierking,16.1
Connie Hawkins*,19.7
Connie Norman,19.4
Connie Rea,4.4
Connie Simmons,18.9
Corey Beck,12.6
Corey Benjamin,9.7
Corey Brewer,17.6
Corey Crowder,8.4
Corey Gaines,23.7
Corey Maggette,20.3
Corey Williams,9.3
Corie Blount,14.3
Corky Calhoun,13.7
Corky Devlin,12.2
Corliss Williamson,20.0
Cornelius Cash,12.0
Cornell Warner,14.5
Corny Thompson,6.0
Corsley Edwards,8.6
Cory Alexander,17.8
Cory Blackwell,6.4
Cory Carr,5.1
Cory Higgins,12.6
Cory Jefferson,13.2
Cory Joseph,15.5
Cotton Nash,11.8
Coty Clarke,23.9
Courtney Alexander,14.2
Courtney Fortson,11.4
Courtney Lee,14.6
Courtney Sims,19.8
Cozell McQueen,58.3
Craig Brackins,4.3
Craig Dykema,11.1
Craig Ehlo,17.5
Craig Hodges,14.9
Craig Neal,8.2
Craig Raymond,7.6
Craig Shelton,8.8
Craig Smith,16.9
Craig Spitzer,14.6
Cristiano Felicio,17.6
Cuonzo Martin,20.6
Curly Armstrong,
Curtis Borchardt,9.4
Curtis Kitchen,18.5
Curtis Perry,17.1
Curtis Rowe,15.6
Cuttino Mobley,17.7
D'Angelo Russell,15.3
D.C. Wilcutt,
D.J. Augustin,18.0
D.J. Kennedy,4.7
D.J. Stephens,16.1
D.J. Strawberry,6.2
D.J. White,25.9
DaJuan Summers,9.0
Daequan Cook,12.8
Dahntay Jones,14.7
Dajuan Wagner,17.2
Dale Davis,17.4
Dale Ellis,19.7
Dale Hamilton,
Dale Schlueter,15.8
Dale Wilkinson,0.5
Dalibor Bagaric,8.6
Dallas Comegys,11.9
Damian Jones,5.3
Damian Lillard,24.1
Damien Inglis,6.7
Damien Wilkins,13.4
Damion James,10.1
Damir Markota,5.0
Damjan Rudez,8.2
Damon Jones,15.5
Damon Stoudamire,18.1
Damone Brown,7.4
Dan Anderson,13.1
Dan Dickau,15.0
Dan Gadzuric,18.1
Dan Godfread,20.3
Dan Issel*,23.1
Dan King,
Dan Langhi,9.4
Dan Majerle,17.8
Dan McClintock,9.9
Dan O'Sullivan,30.3
Dan Roundfield,20.7
Dan Swartz,12.3
Dan Tieman,4.1
Dana Barros,20.9
Dane Suttle,15.3
Daniel Ewing,9.3
Daniel Gibson,13.2
Daniel Ochefu,6.6
Daniel Orton,14.0
Daniel Santiago,11.2
Danilo Gallinari,19.0
Danny Ainge,18.6
Danny Doyle,22.2
Danny Ferry,16.0
Danny Finn,13.9
Danny Fortson,24.4
Danny Granger,21.8
Danny Green,16.5
Danny Manning,19.8
Danny Schayes,18.4
Danny Vranes,11.2
Danny Wagner,
Danny Young,14.3
Dante Cunningham,14.9
Dante Exum,8.6
Danuel House,12.2
Darington Hobson,-3.3
Dario Saric,12.8
Darius Johnson-Odom,-6.7
Darius Miles,18.6
Darius Miller,9.0
Darius Morris,11.9
Darius Songaila,14.9
Darius Washington,9.0
Darko Milicic,16.3
Darnell Hillman,14.6
Darnell Jackson,12.3
Darnell Mee,15.3
Darnell Valentine,17.3
Darrall Imhoff,15.5
Darrell Allums,5.3
Darrell Armstrong,40.2
Darrell Arthur,15.7
Darrell Elston,-1.6
Darrell Griffith,16.1
Darrell Lockhart,1.6
Darrell Walker,15.9
Darren Collison,17.5
Darren Daye,16.4
Darren Morningstar,19.4
Darren Tillis,11.6
Darrick Martin,17.0
Darrin Hancock,18.3
Darrun Hilliard,10.7
Darryl Dawkins,19.5
Darryl Johnson,9.7
Darryl Watkins,10.8
Darvin Ham,22.5
Darwin Cook,15.0
Dave Batton,10.4
Dave Bing*,22.5
Dave Britton,18.0
Dave Budd,15.2
Dave Corzine,16.5
Dave Cowens*,19.3
